;Mots;00100;00200;00110;00210;00120;00220;00101;00201;00111;00211;00121;00221;00102;00202;00112;00212;00122;00222;00000;00010;00020;00001;00011;00021;00002;00012;00022;01100;02100;01200;02200;01110;02110;01210;02210;01120;02120;01220;02220;01101;02101;01201;02201;01111;02111;01211;02211;01121;02121;01221;02221;01102;02102;01202;02202;01112;02112;01212;02212;01122;02122;01222;02222;01000;02000;01010;02010;01020;02020;01001;02001;01011;02011;01021;02021;01002;02002;01012;02012;01022;02022;10100;20100;10200;20200;10110;20110;10210;20210;10120;20120;10220;20220;10101;20101;10201;20201;10111;20111;10211;20211;10121;20121;10221;20221;10102;20102;10202;20202;10112;20112;10212;20212;10122;20122;10222;20222;10000;20000;10010;20010;10020;20020;10001;20001;10011;20011;10021;20021;10002;20002;10012;20012;10022;20022;11100;21100;12100;22100;11200;21200;12200;22200;11110;21110;12110;22110;11210;21210;12210;22210;11120;21120;12120;22120;11220;21220;12220;22220;11101;21101;12101;22101;11201;21201;12201;22201;11111;21111;12111;22111;11211;21211;12211;22211;11121;21121;12121;22121;11221;21221;12221;22221;11102;21102;12102;22102;11202;21202;12202;22202;11112;21112;12112;22112;11212;21212;12212;22212;11122;21122;12122;22122;11222;21222;12222;22222;11000;21000;12000;22000;11010;21010;12010;22010;11020;21020;12020;22020;11001;21001;12001;22001;11011;21011;12011;22011;11021;21021;12021;22021;11002;21002;12002;22002;11012;21012;12012;22012;11022;21022;12022;22022;sum;average
0;était;1559;306;444;80;176;61;404;114;111;34;58;26;124;60;38;25;27;20;4046;1368;423;1057;347;132;286;129;74;404;38;114;29;111;8;34;7;58;7;26;7;404;38;114;29;111;8;34;7;58;7;26;7;124;7;60;6;38;3;25;3;27;3;20;3;1057;63;347;18;132;9;1057;63;347;18;132;9;286;7;129;3;74;3;319;58;86;51;53;13;12;10;23;9;9;8;74;28;37;25;12;7;6;5;7;5;6;5;17;6;12;5;3;2;3;2;3;2;3;2;961;125;277;45;93;21;216;49;65;19;27;9;42;11;18;5;18;5;74;28;22;20;37;25;19;19;12;7;6;6;6;5;5;5;7;5;5;5;6;5;5;5;74;28;22;20;37;25;19;19;12;7;6;6;6;5;5;5;7;5;5;5;6;5;5;5;17;6;4;4;12;5;4;4;3;2;2;2;3;2;2;2;3;2;2;2;3;2;2;2;216;49;36;31;65;19;12;11;27;9;7;6;216;49;36;31;65;19;12;11;27;9;7;6;42;11;4;4;18;5;2;2;18;5;2;2;22083;2.246083618632638
1;comme;555;170;555;170;119;20;322;101;322;101;72;12;196;47;196;47;68;12;4046;555;119;2214;322;72;1309;196;68;157;114;54;46;157;114;54;46;34;28;17;17;64;55;23;21;64;55;23;21;19;17;10;10;52;47;20;20;52;47;20;20;19;17;10;10;1128;702;157;114;34;28;454;343;64;55;19;17;333;258;52;47;19;17;49;29;17;16;49;29;17;16;17;15;2;2;27;15;7;7;27;15;7;7;12;10;2;2;23;14;6;6;23;14;6;6;12;10;2;2;711;374;49;29;17;15;334;179;27;15;12;10;234;114;23;14;12;10;11;8;8;7;8;8;7;7;11;8;8;7;8;8;7;7;2;2;2;2;2;2;2;2;5;4;5;4;4;4;4;4;5;4;5;4;4;4;4;4;2;2;2;2;2;2;2;2;5;4;5;4;4;4;4;4;5;4;5;4;4;4;4;4;2;2;2;2;2;2;2;2;219;140;136;93;11;8;8;7;2;2;2;2;71;44;56;34;5;4;5;4;2;2;2;2;65;41;53;32;5;4;5;4;2;2;2;2;21470;2.183734786579846
2;avait;1559;306;444;80;176;61;404;114;111;34;58;26;124;60;38;25;27;20;4046;1368;423;1057;347;132;286;129;74;168;49;39;20;55;21;8;4;23;8;7;4;19;8;6;6;5;3;2;2;3;2;2;2;13;7;6;6;3;2;2;2;3;2;2;2;430;54;174;26;50;9;63;10;19;5;8;2;27;7;11;2;7;2;1559;272;306;25;444;110;80;4;176;24;61;4;404;56;114;12;111;16;34;2;58;6;26;2;124;27;60;9;38;8;25;2;27;4;20;2;1559;272;444;110;176;24;404;56;111;16;58;6;124;27;38;8;27;4;168;41;49;41;39;13;20;13;55;20;21;20;8;4;4;4;23;8;8;8;7;4;4;4;19;7;8;7;6;6;6;6;5;2;3;2;2;2;2;2;3;2;2;2;2;2;2;2;13;7;7;7;6;6;6;6;3;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;168;41;49;41;55;20;21;20;23;8;8;8;19;7;8;7;5;2;3;2;3;2;2;2;13;7;7;7;3;2;2;2;3;2;2;2;22023;2.239980959704143
3;cette;1057;250;1057;250;304;29;514;137;514;137;183;21;290;71;290;71;151;21;4046;1057;304;2214;514;183;1309;290;151;514;124;137;19;514;124;137;19;183;56;21;5;514;124;137;19;514;124;137;19;183;56;21;5;290;43;71;8;290;43;71;8;151;29;21;5;2214;413;514;124;183;56;2214;413;514;124;183;56;1309;151;290;43;151;29;114;62;20;16;114;62;20;16;38;27;2;2;45;28;9;8;45;28;9;8;25;17;2;2;30;19;5;5;30;19;5;5;21;16;2;2;711;374;114;62;38;27;334;179;45;28;25;17;234;114;30;19;21;16;45;28;9;5;9;8;1;1;45;28;9;5;9;8;1;1;25;17;7;3;2;2;1;1;45;28;9;5;9;8;1;1;45;28;9;5;9;8;1;1;25;17;7;3;2;2;1;1;30;19;3;2;5;5;1;1;30;19;3;2;5;5;1;1;21;16;3;2;2;2;1;1;334;179;31;17;45;28;9;5;25;17;7;3;334;179;31;17;45;28;9;5;25;17;7;3;234;114;11;7;30;19;3;2;21;16;3;2;34980;3.5578501553126696
4;faire;1368;362;496;129;84;34;612;200;224;77;47;20;345;135;120;57;43;20;4046;1481;281;2214;853;162;1309;463;130;444;164;106;54;148;67;25;13;21;7;10;7;101;43;44;27;30;15;10;8;8;5;5;5;65;36;30;20;21;14;8;7;8;5;5;5;1559;769;519;249;110;44;597;350;211;116;49;21;401;254;132;76;39;21;143;107;36;33;52;45;21;20;10;10;6;6;62;51;19;18;26;23;12;11;8;8;4;4;40;33;14;14;18;17;11;11;7;7;4;4;354;267;130;109;20;17;188;144;73;60;16;14;110;91;42;37;12;10;32;22;15;9;7;7;7;7;10;8;5;3;1;1;1;1;1;1;1;1;1;1;1;1;6;6;3;3;3;3;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;3;3;3;3;3;3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;103;74;62;43;32;25;14;9;2;1;1;1;36;29;29;23;12;10;7;5;1;1;1;1;26;20;24;18;7;5;5;3;1;1;1;1;25901;2.6344161484492123
5;était;1559;306;444;80;176;61;404;114;111;34;58;26;124;60;38;25;27;20;4046;1368;423;1057;347;132;286;129;74;404;38;114;29;111;8;34;7;58;7;26;7;404;38;114;29;111;8;34;7;58;7;26;7;124;7;60;6;38;3;25;3;27;3;20;3;1057;63;347;18;132;9;1057;63;347;18;132;9;286;7;129;3;74;3;319;58;86;51;53;13;12;10;23;9;9;8;74;28;37;25;12;7;6;5;7;5;6;5;17;6;12;5;3;2;3;2;3;2;3;2;961;125;277;45;93;21;216;49;65;19;27;9;42;11;18;5;18;5;74;28;22;20;37;25;19;19;12;7;6;6;6;5;5;5;7;5;5;5;6;5;5;5;74;28;22;20;37;25;19;19;12;7;6;6;6;5;5;5;7;5;5;5;6;5;5;5;17;6;4;4;12;5;4;4;3;2;2;2;3;2;2;2;3;2;2;2;3;2;2;2;216;49;36;31;65;19;12;11;27;9;7;6;216;49;36;31;65;19;12;11;27;9;7;6;42;11;4;4;18;5;2;2;18;5;2;2;22083;2.246083618632638
6;avait;1559;306;444;80;176;61;404;114;111;34;58;26;124;60;38;25;27;20;4046;1368;423;1057;347;132;286;129;74;168;49;39;20;55;21;8;4;23;8;7;4;19;8;6;6;5;3;2;2;3;2;2;2;13;7;6;6;3;2;2;2;3;2;2;2;430;54;174;26;50;9;63;10;19;5;8;2;27;7;11;2;7;2;1559;272;306;25;444;110;80;4;176;24;61;4;404;56;114;12;111;16;34;2;58;6;26;2;124;27;60;9;38;8;25;2;27;4;20;2;1559;272;444;110;176;24;404;56;111;16;58;6;124;27;38;8;27;4;168;41;49;41;39;13;20;13;55;20;21;20;8;4;4;4;23;8;8;8;7;4;4;4;19;7;8;7;6;6;6;6;5;2;3;2;2;2;2;2;3;2;2;2;2;2;2;2;13;7;7;7;6;6;6;6;3;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;168;41;49;41;55;20;21;20;23;8;8;8;19;7;8;7;5;2;3;2;3;2;2;2;13;7;7;7;3;2;2;2;3;2;2;2;22023;2.239980959704143
7;quand;1559;306;355;68;141;60;169;32;33;8;13;8;14;13;8;8;8;8;4046;938;322;453;113;25;31;14;13;234;61;47;27;24;15;12;11;17;10;11;10;22;6;6;3;2;2;2;2;2;2;2;2;5;2;5;2;2;2;2;2;2;2;2;2;977;313;161;61;50;20;116;25;27;5;3;2;14;2;4;2;3;2;16;6;6;6;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;35;9;5;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;16;6;6;6;6;6;6;6;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;35;9;10;9;5;3;4;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;11643;1.1842209650744828
8;aussi;1361;195;1361;195;194;76;466;59;466;59;69;22;25;3;25;3;8;1;4046;1361;194;1368;466;69;137;25;8;326;132;34;24;326;132;34;24;37;18;14;9;70;40;8;2;70;40;8;2;8;6;3;1;9;7;1;1;9;7;1;1;2;2;1;1;977;313;326;132;37;18;200;92;70;40;8;6;34;16;9;7;2;2;492;82;77;9;492;82;77;9;90;13;36;1;150;35;17;7;150;35;17;7;24;7;6;1;9;2;3;1;9;2;3;1;5;2;1;1;1559;272;492;82;90;13;444;110;150;35;24;7;79;21;9;2;5;2;73;18;19;8;1;1;1;1;73;18;19;8;1;1;1;1;13;6;3;1;1;1;1;1;13;3;8;1;1;1;1;1;13;3;8;1;1;1;1;1;3;1;3;1;1;1;1;1;2;1;2;1;1;1;1;1;2;1;2;1;1;1;1;1;2;1;2;1;1;1;1;1;234;54;61;18;73;18;19;8;13;6;3;1;32;12;15;3;13;3;8;1;3;1;3;1;11;7;4;3;2;1;2;1;2;1;2;1;22323;2.2704942543466187
